,game_id,game_name,score,tone,strategy based gameplay,game design,difficulty,skill based gameplay,enjoyment,luck based gameplay,world building,ignore,visuals,technical performance,innovative,playthrough time,value,narrative,multiplayer,sound track
18,18,Football Manager 2022,85.17948717948718,,,,,,0.5957,,,-0.022499999999999992,,,0.2732,,,0.2732,,
19,19,Death's Door,85.10344827586206,,,,,,,,,0.0,,,,,,0.14049999999999999,,
20,20,Inscryption,85.73913043478261,,,0.47755000000000003,,,,,,,,,,0.4767,,,,
21,21,The Forgotten City,84.21212121212122,,,,,,,,,,,,0.6369,,,0.0,,
22,22,Tales of Arise,84.78571428571429,,,,,,,,,,,,,,,,,
23,23,Atelier Ryza 2: Lost Legends & the Secret Fairy,84.375,,,,,,,,,,,,0.5423,,,0.0,,
24,24,Shovel Knight Pocket Dungeon,84.82352941176471,,,0.3612,,,,,0.0,0.41000000000000003,,,-0.296,,,0.4404,,
25,25,Griftlands,83.875,,,,,,,,,0.31245,,,,,,,,
26,26,Fuga: Melodies of Steel,83.78571428571429,,,,,,,,,,,,,,,0.4588,,
27,27,The Darkside Detective: A Fumble in the Dark,83.75,,,,,,,,0.0,0.0,,,0.0,,,0.0,,
28,28,Unsighted,83.6,,,0.22646666666666668,,,,,,0.09505,,,,,,-0.2997,,
29,29,Unpacking,83.44,,,,,,,,,,,,,,,0.0,,
30,30,Everhood,84.2,,,0.3182,,,,,,0.418,,,,,,0.4939,,
31,31,Final Fantasy IV Pixel Remaster,83.33333333333333,,,-0.1531,,,,,,0.0,,,,,,0.6369,,
32,32,I Expect You To Die 2: The Spy And The Liar,83.9090909090909,,,0.0,,,0.40305,,,0.449625,,,0.0,,,0.0,,
33,33,Crash Bandicoot 4: It's About Time,83.375,,,,,,,,,,,,,,,,,
34,34,Little Nightmares II,84.1891891891892,,,0.0,,,,,,0.0,,,,,,0.0129,,
35,35,Kena: Bridge of Spirits,83.15384615384616,,,,,0.1779,,,,0.3715,,,,,,0.0,,
36,36,Trials of Fire,83.21428571428571,,,-0.5106,,,,,,-0.25,,-0.4767,,,,0.1054666666666667,,
37,37,The Riftbreaker,83.55555555555556,,,,,0.0,0.57375,,,0.0,,,,,,,,
38,38,Sunlight,82.85714285714286,,,0.6369,,,,,0.0,,0.8316,,,,,,,
39,39,Pathfinder: Wrath of the Righteous,83.35483870967742,,,0.0,,,0.3182,,,0.5267,,,,,,,,
40,40,Shadow Tactics: Blades of the Shogun - Aiko's Choice,81.6,,,0.4201,,,0.802,,,,,,,0.16463333333333333,,,,
41,41,The Great Ace Attorney Chronicles,83.9090909090909,,,,,,0.3182,,,0.1806,,,0.4939,,0.1548,,,
42,42,Resident Evil Village,82.78260869565217,,,,,,0.7184,,,,,,,,,,,
43,43,Demeo,82.625,,,0.4588,,,,,,0.0,,,,,,,,
44,44,Chivalry 2,82.10526315789474,,,,,,,,0.0,0.703,,,,,,,,
45,45,Kaze and the Wild Masks,82.375,,,0.36755,,,,,,0.5423,,0.0,0.0,,,,,
46,46,Rainbow Billy: The Curse of the Leviathan,82.28571428571429,0.5719,,,,,,,,0.0,,,,,,,,
47,47,Yakuza 6: The Song of Life,82.33333333333333,,,,,,0.8573,,,0.9313,,,,0.6369,,,,
48,48,Eastward,82.94285714285714,,,,,,,,,0.0,,0.0,,0.0,,,,
49,49,The Ramp,82.875,,,0.3182,,,,,,0.04416666666666669,,,,,,,,
50,50,Subnautica: Below Zero,80.81481481481481,,,,,,,,,0.2749,,,0.0,,0.2263,,,
51,51,Outer Wilds: Echoes of the Eye,82.625,,,,,,,,,0.0,,,,,,,,
52,52,Archvale,81.875,,,0.0,,0.0,,,,-0.296,,,-0.148,,,,,
53,53,Final Fantasy V Pixel Remaster,81.85714285714286,,,,,,,,,,,,,,,,,
54,54,Tainted Grail: Conquest,81.8,,,0.6808,,,0.6808,,,0.0,,,,0.0,,,,
55,55,Quake Remastered,80.57142857142857,,,0.10115,,,,,,0.2294,,0.0,,0.0,,,,
56,56,Circuit Superstars,81.42857142857143,,,,,,,,,0.6352000000000001,,,-0.34,,,,,
57,57,Monster Hunter Stories 2: Wings of Ruin,82.27272727272727,,,,,,,,,,,,,,,,,
58,58,Loop Hero,82.87931034482759,,,-0.2411,,,,,,0.0,,,,,,,,
59,59,Cyber Shadow,82.84210526315789,,,,,,,,,,,,,,,,,
60,60,Doki Doki Literature Club Plus!,81.44444444444444,,,0.2263,,,,,,,,,,,,,,
61,61,Star Wars Pinball VR,81.41666666666667,,,0.0,,,-0.4023,,,,,,,,,,,
62,62,GRIME,80.77777777777777,,,,,,,,,0.7096,,,,-0.6249,,,,
63,63,Life is Strange: True Colors,82.1923076923077,,,,,,,,0.4404,,,,,,,,,
64,64,The Sims 4: Cottage Living,81.3076923076923,,0.6486,0.32226666666666665,0.743,,0.765,,0.7096,0.15293333333333334,,,,,,-0.25,,
65,65,Boomerang X,80.8,,0.8316,0.7351,,,0.7351,,,0.0,,-0.6908,,,,,,
66,66,Overboard!,83.75,,,,,,,,,0.09106666666666667,,,,,,,,
67,67,Silicon Dreams,79.85714285714286,,,0.61815,,,,,,0.2419,,,,0.1531,,0.6457666666666667,,
68,68,Age of Empires IV,81.5421686746988,,,,,,,,,,,,,,,0.3612,,
69,69,Tails of Iron,81.0,,,0.3182,,0.296,0.8126,,,,,,,,,,,
70,70,Exo One,80.9375,,,,,,0.34,,,-0.4215,,,,,,0.0772,,
71,71,Death's Gambit: Afterlife,80.57142857142857,,0.886,0.5867,,,0.7374,,,0.616,,,,,,0.0,,
72,72,Old World,79.33333333333333,,0.7845,0.2263,,,0.5106,,0.5994,,,,,,,,,
73,73,Dark Deity,80.46153846153847,,0.2023,0.6369,,,,,0.44789999999999996,0.25880000000000003,,,,0.2732,,,,
